ADDRESS,Name,firma,lat,lon
דרך מצדה באר שבע,מצדה,סונול,31.25298788402852,34.77041623095022
דרך מצדה 226,נאות מדבר,פז,31.253615879134895,34.77064023611199
שד' דוד טוביהו 100,טוביהו,דלק+סד''ש,31.246408854983528,34.78050915846036
"שד' ירושלים, מול בית החייל",באר-שבע צפון,פז,31.245315853791187,34.781623147249874
"דרך המלאכה, יציאה דרומית מהעיר",מלי,סונול,31.236322792257948,34.798798043129
רח' דרך חברון,בן גוריון,סונול-ספרינט,31.237569128314036,34.793585907015505
דרך חברון 1,באר-שבע מרכז,פז,31.237689506398826,34.79392712127733
בעיר העתיקה ליד באר אברהם,באר שבע,דור,31.23805325714508,34.79361863816121
ליד חניון אגד,נווה צאלים,דלק,31.243967761209348,34.79710711251082
"דרך שמשון, צמוד לאיצטדיון העירוני",אצטדיון באר ש,פז,31.252573785589192,34.786015204235134
"דרך מצדה, מרכז הנגב",כרמי-מרכז הנג,פז,31.25857868665641,34.79623124164612
רח' אברהם אבינו,אשל אברהם,דלק,31.26690865910514,34.79341631871287
בכניסה לבאר שבע מכיוון קרית גת בצד ימין,מבואות באר שב,פז,31.27832060120284,34.79268141969001
דרך הנשיאים,הדס,סונול,31.279275592402147,34.79323242723537
דרך הנשיאים כביש בית קמה-ב''ש,הנשיאים,פז,31.27791959242013,34.794382413663755
"רח' תוצרת הארץ, קריית יהודית, פארק אופיר",פארק אופיר,סונול-ספרינט,31.220075854835528,34.80291889492432
"רח' הפועלים 17, אזור התעשייה עמק שרה",עמק שרה,סד''ש,31.22619589966677,34.807669474459416
רח' המנוף,באר שבע-אספלט,סונול,31.22764775109896,34.81254494684616
רח' צאלים,עמק שרה,פז,31.226916717682144,34.81833993184371
ביציאה הדרומית ליד שוק הבדואי,TEN,טן,31.241437471730716,34.80434843776787
דרך חברון 25 א,תפוז,תפוז,31.242258081011425,34.80409704901251
רח' פנחס החוצב,פנחס החוצב,דלק,31.244593690150612,34.80757810245944
רח' דרך חברון,שיכון עובדים,דלק,31.243738680609773,34.809782091709444
שד' שז''ר 8,קרית הממשלה,פז,31.247186700011735,34.803847130679436
דרך חברון,דרך חברון,סונול,31.24514423304159,34.81121514576373
דרך חברון 64,אלון נספן,אלון,31.245817722565334,34.81351683098204
"שכונה ג', מרכז ספורט ב''ש, שד' בן גוריון",מפגש הספורט,דלק+סד''ש,31.25462959772514,34.813358181706825
בכניסה לעומר,מתקן דב סול,סונול,31.251799574325798,34.81938614799972
"צומת מכתשים,ביציאה לכיוון עומר,דרך חברון",עומרים,דלק,31.252263568723315,34.81985915135889
"דרך חברון, ליד המכתשים",פז-בר,פז,31.251210567547258,34.82093614054556
המלאכה פינת המוסכים,המלאכה,טל,31.23681882302211,34.79646476809992
ככר רוטשילד יחיל,בתכנון,בתכנון,31.24356232639493,34.803473321690866
רחוב בן גוריון,בתכנון,בתכנון,31.25573545011698,34.81360410487462
רחוב בן גוריון,פטרול,משהר אנרגיה,31.254885826975983,34.8141418979213
רחוב בן גוריון צמוד לבית בלטק,בתכנון,בתכנון,31.2565559487472,34.813072100156255
הכשרת הישוב,הכשרת הישוב,,31.22666260781248,34.81243094908933
אילן רמון,אילן רמון,דלק,31.256366783440377,34.7575971022932
כיכר רוטשילד יחיל,בהקמה,בהקמה,31.243555406403214,34.802751952262646
יהודה הנחתום 4,,,31.25726459084937,34.81393990485868
